"SurveyResponseID","AnswerNumber","AnswerYN","AmenityType"
3628648,180,"Yes","Accommodation"
3627442,164,"No","All"
3627210,146,"Yes","Activities"
3630362,112,"No","All"
3579118,137,"Yes","Activities"
3628648,181,"Yes","Transport"
3579134,151,"Yes","Accommodation"
3626511,186,"Yes","Accommodation"
3628805,268,"Yes","Accommodation"
3630413,185,"Yes","Accommodation"
3579127,156,"Yes","Activities"
3628771,154,"No","All"
3579020,148,"Yes","Transport"
3579118,136,"Yes","Accommodation"
3630363,174,"Yes","Accommodation"
3579120,139,"Yes","Accommodation"
3579134,152,"Yes","Transport"
3579245,144,"Yes","Accommodation"
3626594,162,"Yes","Transport"
3626594,161,"Yes","Accommodation"
3630413,186,"Yes","Transport"
3626629,151,"Yes","Accommodation"
3579268,150,"Yes","Accommodation"
3626493,126,"Yes","Activities"
3626594,163,"Yes","Activities"
3628805,269,"Yes","Activities"
3626878,195,"Yes","Activities"
3626612,245,"Yes","Accommodation"
3630413,187,"Yes","Activities"
3630565,161,"No","All"
3579302,151,"Yes","Accommodation"
3626779,169,"Yes","Accommodation"
3626878,194,"Yes","Accommodation"
3579354,130,"Yes","Transport"
3579377,143,"Yes","Accommodation"
3626961,157,"Yes","Accommodation"
3578886,158,"Yes","Activities"
3626998,117,"No","All"
3628898,113,"No","All"
3579470,131,"Yes","Activities"
3629232,184,"Yes","Activities"
3579931,219,"Yes","Activities"
3629155,139,"Yes","Activities"
3629516,227,"Yes","Activities"
3579413,152,"Yes","Accommodation"
3579470,130,"Yes","Accommodation"
3626962,141,"Yes","Accommodation"
3629155,138,"Yes","Accommodation"
3579488,151,"Yes","Accommodation"
3579654,157,"Yes","Accommodation"
3629273,124,"Yes","Accommodation"
3629650,105,"No","All"
3579931,218,"Yes","Accommodation"
3629516,226,"Yes","Accommodation"
3581165,191,"Yes","Activities"
3580065,138,"Yes","Accommodation"
3581190,160,"No","All"
3628535,149,"Yes","Activities"
3581165,190,"Yes","Accommodation"
3628734,146,"Yes","Activities"
3580031,173,"No","All"
3628515,183,"No","All"
3628736,159,"No","All"
3626795,127,"Yes","Transport"
3628751,143,"Yes","Accommodation"
3581181,177,"Yes","Activities"
3581235,157,"Yes","Activities"
3581233,180,"Yes","Accommodation"
3628886,148,"Yes","Accommodation"
3628886,149,"Yes","Transport"
3630118,153,"Yes","Accommodation"
3582864,139,"Yes","Activities"
3630243,187,"Yes","Activities"
3582855,161,"Yes","Accommodation"
3630141,146,"Yes","Accommodation"
3582973,161,"No","All"
3628919,146,"Yes","Accommodation"
3630393,176,"Yes","Activities"
3582903,163,"Yes","Accommodation"
3630243,185,"Yes","Accommodation"
3629184,149,"Yes","Accommodation"
3627197,126,"Yes","Accommodation"
3626914,118,"No","All"
3628886,150,"Yes","Activities"
3630243,186,"Yes","Transport"
3629235,165,"Yes","Accommodation"
3630475,202,"Yes","Accommodation"
3629235,166,"Yes","Activities"
3626425,147,"Yes","Accommodation"
3626130,116,"No","All"
3630475,203,"Yes","Activities"
3629872,121,"No","All"
3626425,148,"Yes","Transport"
3630240,138,"Yes","Accommodation"
3630518,149,"Yes","Activities"
3629184,150,"Yes","Activities"
3630055,204,"Yes","Activities"
3630171,161,"No","All"
3626475,118,"Yes","Accommodation"
3626632,178,"Yes","Accommodation"
3626748,117,"Yes","Accommodation"
3630255,140,"Yes","Accommodation"
3630256,114,"Yes","Accommodation"
3630089,146,"No","All"
3629889,195,"Yes","Activities"
3630507,172,"Yes","Activities"
3626907,158,"Yes","Activities"
3626918,185,"Yes","Accommodation"
3627193,187,"Yes","Accommodation"
3626907,157,"Yes","Transport"
3627043,224,"Yes","Accommodation"
3626425,149,"Yes","Activities"
3627043,226,"Yes","Activities"
3626907,156,"Yes","Accommodation"
3627193,188,"Yes","Activities"
3628586,188,"Yes","Activities"
3627250,151,"No","All"
3627341,158,"Yes","Activities"
3627043,225,"Yes","Transport"
3628586,187,"Yes","Transport"
3628847,167,"Yes","Activities"
3628924,122,"Yes","Activities"
3628924,120,"Yes","Accommodation"
3629213,143,"Yes","Accommodation"
3628924,121,"Yes","Transport"
3629531,149,"Yes","Accommodation"
3629213,144,"Yes","Transport"
3629547,147,"Yes","Accommodation"
3629256,115,"No","All"
3629892,153,"Yes","Activities"
3629213,145,"Yes","Activities"
3629767,135,"No","All"
3629899,139,"Yes","Accommodation"
3628913,201,"No","All"
3630151,133,"Yes","Activities"
3627475,154,"No","All"
3630224,133,"No","All"
3630058,125,"No","All"
3577362,160,"Yes","Activities"
3629942,138,"Yes","Activities"
3577397,146,"Yes","Activities"
3577341,183,"Yes","Accommodation"
3577470,153,"Yes","Accommodation"
3577523,135,"Yes","Transport"
3577970,179,"Yes","Accommodation"
3577397,145,"Yes","Transport"
3577609,117,"Yes","Accommodation"
3577523,134,"Yes","Accommodation"
3577375,126,"Yes","Accommodation"
3577378,154,"Yes","Accommodation"
3577397,144,"Yes","Accommodation"
3577433,169,"Yes","Accommodation"
3577535,169,"Yes","Activities"
3578090,181,"Yes","Activities"
3577476,117,"No","All"
3578022,172,"Yes","Activities"
3578096,152,"Yes","Accommodation"
3578139,245,"Yes","Accommodation"
3578035,124,"Yes","Accommodation"
3578090,180,"Yes","Transport"
3578022,171,"Yes","Accommodation"
3630519,182,"Yes","Activities"
3577958,211,"Yes","Activities"
3578636,128,"Yes","Accommodation"
3578668,154,"Yes","Accommodation"
3578713,148,"Yes","Accommodation"
3578640,136,"Yes","Accommodation"
3577433,170,"Yes","Activities"
3578139,246,"Yes","Activities"
3578590,174,"Yes","Accommodation"
3578641,153,"Yes","Accommodation"
3578599,146,"No","All"
3579618,123,"Yes","Activities"
3579565,162,"Yes","Accommodation"
3579581,149,"Yes","Accommodation"
3578692,151,"Yes","Accommodation"
3579559,142,"Yes","Accommodation"
3578658,152,"Yes","Accommodation"
3579561,139,"Yes","Accommodation"
3577974,173,"Yes","Transport"
3578726,157,"Yes","Transport"
3579587,149,"Yes","Accommodation"
3580313,168,"Yes","Accommodation"
3580482,219,"Yes","Accommodation"
3578593,158,"No","All"
3580336,173,"Yes","Activities"
3580267,176,"Yes","Accommodation"
3580240,177,"Yes","Accommodation"
3580336,172,"Yes","Accommodation"
3580341,206,"No","All"
3580482,221,"Yes","Activities"
3580422,133,"Yes","Accommodation"
3580545,172,"Yes","Accommodation"
3580626,175,"Yes","Accommodation"
3580539,226,"Yes","Activities"
3580417,195,"Yes","Activities"
3578635,138,"Yes","Activities"
3580240,178,"Yes","Activities"
3580438,130,"Yes","Activities"
3580419,142,"No","All"
3580476,131,"Yes","Activities"
3580413,164,"No","All"
3580482,220,"Yes","Transport"
3580533,158,"Yes","Accommodation"
3580650,157,"No","All"
3580533,159,"Yes","Activities"
3580633,213,"No","All"
3580601,187,"Yes","Activities"
3580406,173,"No","All"
3580899,120,"No","All"
3580481,179,"Yes","Activities"
3581296,180,"Yes","Activities"
3580661,126,"Yes","Accommodation"
3580530,143,"Yes","Activities"
3580640,122,"Yes","Activities"
3581241,169,"Yes","Activities"
3581332,175,"No","All"
3581361,181,"Yes","Accommodation"
3580846,142,"Yes","Activities"
3581481,178,"Yes","Accommodation"
3581295,108,"No","All"
3581361,182,"Yes","Activities"
3581627,136,"Yes","Accommodation"
3581752,136,"Yes","Transport"
3581784,198,"Yes","Accommodation"
3581241,168,"Yes","Transport"
3581631,199,"Yes","Accommodation"
3581578,195,"No","All"
3581812,118,"No","All"
3581324,142,"Yes","Activities"
3581769,131,"No","All"
3582096,151,"Yes","Accommodation"
3580817,143,"No","All"
3580481,178,"Yes","Transport"
3581241,167,"Yes","Accommodation"
3580736,134,"Yes","Accommodation"
3581529,179,"Yes","Accommodation"
3581368,189,"No","All"
3581222,138,"Yes","Accommodation"
3581916,159,"No","All"
3582096,153,"Yes","Activities"
3581301,127,"No","All"
3580787,158,"Yes","Activities"
3581736,141,"No","All"
3581765,137,"No","All"
3581701,156,"Yes","Activities"
3581220,179,"Yes","Activities"
3581861,186,"No","All"
3582050,174,"Yes","Activities"
3582270,135,"No","All"
3581797,139,"No","All"
3581902,124,"No","All"
3582126,158,"Yes","Accommodation"
3581573,185,"Yes","Accommodation"
3581503,140,"Yes","Accommodation"
3581573,186,"Yes","Transport"
3582180,201,"Yes","Accommodation"
3581589,166,"Yes","Accommodation"
3582301,129,"Yes","Accommodation"
3581622,216,"Yes","Accommodation"
3582096,152,"Yes","Transport"
3582427,145,"Yes","Accommodation"
3581573,187,"Yes","Activities"
3581589,168,"Yes","Activities"
3582202,130,"No","All"
3582314,141,"No","All"
3582213,113,"Yes","Accommodation"
3582480,144,"Yes","Accommodation"
3581589,167,"Yes","Transport"
3581704,206,"Yes","Accommodation"
3582447,170,"Yes","Accommodation"
3582480,146,"Yes","Activities"
3582519,182,"No","All"
3582480,145,"Yes","Transport"
3581837,179,"Yes","Accommodation"
3581622,217,"Yes","Activities"
3582447,171,"Yes","Activities"
3582563,172,"Yes","Accommodation"
3582008,217,"Yes","Accommodation"
3582569,292,"No","All"
3581839,150,"Yes","Accommodation"
3582615,151,"Yes","Activities"
3581874,130,"No","All"
3583082,151,"No","All"
3581837,180,"Yes","Transport"
3582008,218,"Yes","Transport"
3582570,162,"Yes","Transport"
3582206,184,"Yes","Accommodation"
3583062,150,"Yes","Accommodation"
3582071,197,"Yes","Accommodation"
3582471,184,"Yes","Activities"
3583201,124,"No","All"
3583064,179,"Yes","Activities"
3583170,152,"Yes","Activities"
3582754,137,"Yes","Activities"
3582206,185,"Yes","Activities"
3583434,153,"Yes","Accommodation"
3582452,156,"Yes","Activities"
3583113,127,"No","All"
3582306,206,"Yes","Accommodation"
3583062,151,"Yes","Activities"
3583181,117,"Yes","Activities"
3583223,173,"Yes","Accommodation"
3583473,170,"Yes","Accommodation"
3582256,155,"Yes","Activities"
3582306,207,"Yes","Activities"
3583270,159,"Yes","Activities"
3583473,171,"Yes","Activities"
3583270,158,"Yes","Transport"
3583339,127,"Yes","Transport"
3583482,146,"Yes","Accommodation"
3583703,163,"Yes","Accommodation"
3583479,167,"Yes","Activities"
3583613,176,"Yes","Activities"
3583404,164,"No","All"
3582390,144,"No","All"
3583673,214,"Yes","Activities"
3583680,124,"No","All"
3583270,157,"Yes","Accommodation"
3583248,142,"Yes","Accommodation"
3583651,122,"Yes","Accommodation"
3583720,179,"Yes","Activities"
3583921,132,"No","All"
3583720,178,"Yes","Transport"
3583673,213,"Yes","Accommodation"
3583059,179,"Yes","Accommodation"
3583697,147,"Yes","Accommodation"
3584001,172,"Yes","Accommodation"
3583800,185,"Yes","Activities"
3583059,180,"Yes","Activities"
3583613,174,"Yes","Accommodation"
3583720,177,"Yes","Accommodation"
3583807,204,"Yes","Accommodation"
3583613,175,"Yes","Transport"
3584068,222,"Yes","Accommodation"
3584189,199,"Yes","Accommodation"
3582676,130,"No","All"
3583807,205,"Yes","Activities"
3584189,201,"Yes","Activities"
3584232,169,"Yes","Activities"
3582607,150,"Yes","Activities"
3584009,138,"Yes","Activities"
3584009,136,"Yes","Accommodation"
3584189,200,"Yes","Transport"
3583292,136,"Yes","Accommodation"
3584340,134,"Yes","Accommodation"
3584857,156,"No","All"
3584490,203,"No","All"
3583543,160,"No","All"
3584437,153,"Yes","Accommodation"
3584434,170,"No","All"
3583526,145,"Yes","Accommodation"
3584417,128,"Yes","Accommodation"
3584585,163,"Yes","Accommodation"
3583275,151,"No","All"
3584465,170,"No","All"
3584201,115,"Yes","Transport"
3584585,164,"Yes","Transport"
3584974,148,"Yes","Accommodation"
3584691,153,"Yes","Accommodation"
3584775,206,"Yes","Accommodation"
3584775,207,"Yes","Transport"
3583980,157,"Yes","Accommodation"
3584602,207,"No","All"
3584767,190,"No","All"
3583795,180,"Yes","Activities"
3585573,211,"Yes","Activities"
3584585,165,"Yes","Activities"
3584893,135,"Yes","Activities"
3583980,158,"Yes","Transport"
3585573,210,"Yes","Accommodation"
3584013,173,"Yes","Accommodation"
3584869,160,"Yes","Accommodation"
3584902,169,"No","All"
3585062,203,"No","All"
3584977,136,"Yes","Accommodation"
3585775,191,"Yes","Accommodation"
3585121,173,"Yes","Transport"
3584893,133,"Yes","Accommodation"
3584884,182,"Yes","Activities"
3584978,202,"Yes","Activities"
3584009,137,"Yes","Transport"
3584232,168,"Yes","Accommodation"
3584625,131,"Yes","Accommodation"
3584675,173,"Yes","Accommodation"
3584691,154,"Yes","Transport"
3585422,142,"Yes","Accommodation"
3584272,144,"No","All"
3584775,208,"Yes","Activities"
3584893,134,"Yes","Transport"
3584327,158,"Yes","Accommodation"
3585151,233,"Yes","Accommodation"
3586007,168,"Yes","Accommodation"
3584346,158,"Yes","Accommodation"
3585327,183,"Yes","Accommodation"
3586408,176,"Yes","Accommodation"
3585195,181,"Yes","Accommodation"
3585211,178,"Yes","Accommodation"
3585455,192,"Yes","Accommodation"
3585244,180,"No","All"
3586408,178,"Yes","Activities"
3584564,121,"Yes","Accommodation"
3585327,184,"Yes","Transport"
3584546,167,"Yes","Accommodation"
3585211,180,"Yes","Activities"
3585455,194,"Yes","Activities"
3584978,201,"Yes","Accommodation"
3584128,153,"Yes","Accommodation"
3585211,179,"Yes","Transport"
3585218,139,"Yes","Accommodation"
3586408,177,"Yes","Transport"
3585455,193,"Yes","Transport"
3583980,159,"Yes","Activities"
3585195,182,"Yes","Activities"
3586411,218,"Yes","Accommodation"
3586044,160,"No","All"
3585603,155,"No","All"
3585588,161,"Yes","Accommodation"
3584730,187,"Yes","Accommodation"
3584747,167,"Yes","Accommodation"
3584579,193,"Yes","Activities"
3586746,223,"Yes","Activities"
3585327,185,"Yes","Activities"
3585588,162,"Yes","Activities"
3585838,138,"Yes","Accommodation"
3586746,221,"Yes","Accommodation"
3586595,167,"Yes","Activities"
3585645,195,"Yes","Activities"
3584780,198,"Yes","Accommodation"
3585980,155,"Yes","Activities"
3585931,142,"No","All"
3585937,265,"Yes","Activities"
3587210,183,"No","All"
3584931,128,"Yes","Activities"
3585906,144,"No","All"
3585944,120,"Yes","Accommodation"
3585845,145,"Yes","Accommodation"
3586746,222,"Yes","Transport"
3586896,132,"Yes","Accommodation"
3585937,264,"Yes","Accommodation"
3584931,126,"Yes","Accommodation"
3584712,141,"Yes","Activities"
3584747,168,"Yes","Activities"
3584931,127,"Yes","Transport"
3590120,228,"Yes","Accommodation"
3585980,153,"Yes","Accommodation"
3584999,194,"Yes","Accommodation"
3586047,171,"No","All"
3586180,165,"No","All"
3590405,165,"Yes","Activities"
3585181,196,"No","All"
3590269,175,"Yes","Accommodation"
3585980,154,"Yes","Transport"
3585081,142,"Yes","Accommodation"
3590405,163,"Yes","Accommodation"
3585350,165,"Yes","Activities"
3586388,248,"No","All"
3586164,133,"Yes","Transport"
3585248,149,"Yes","Accommodation"
3585350,164,"Yes","Accommodation"
3586147,219,"Yes","Activities"
3586848,216,"No","All"
3585497,126,"No","All"
3591105,214,"Yes","Activities"
3585248,150,"Yes","Transport"
3586448,135,"Yes","Transport"
3590405,164,"Yes","Transport"
3586147,218,"Yes","Accommodation"
3586490,159,"Yes","Accommodation"
3591088,151,"Yes","Accommodation"
3591105,212,"Yes","Accommodation"
3591156,177,"Yes","Accommodation"
3590654,166,"Yes","Transport"
3586490,160,"Yes","Transport"
3586788,186,"Yes","Accommodation"
3591156,178,"Yes","Transport"
3585632,164,"Yes","Accommodation"
3586991,153,"No","All"
3591291,114,"Yes","Activities"
3586808,191,"Yes","Activities"
3591221,141,"No","All"
3586012,121,"Yes","Activities"
3586897,196,"Yes","Activities"
3591105,213,"Yes","Transport"
3587248,156,"Yes","Accommodation"
3591541,223,"Yes","Activities"
3587283,171,"No","All"
3585765,183,"No","All"
3587391,117,"No","All"
3587425,178,"Yes","Accommodation"
3587434,165,"Yes","Accommodation"
3586266,152,"Yes","Accommodation"
3587008,159,"Yes","Activities"
3587248,158,"Yes","Activities"
3587140,141,"Yes","Accommodation"
3591506,211,"Yes","Accommodation"
3587625,160,"Yes","Accommodation"
3587686,119,"No","All"
3586467,203,"Yes","Activities"
3591973,175,"Yes","Accommodation"
3586490,161,"Yes","Activities"
3587552,147,"Yes","Activities"
3591973,177,"Yes","Activities"
3591976,157,"No","All"
3587248,157,"Yes","Transport"
3587652,134,"Yes","Accommodation"
3586467,201,"Yes","Accommodation"
3591358,161,"Yes","Activities"
3592058,158,"Yes","Activities"
3592090,242,"No","All"
3587333,172,"No","All"
3590408,165,"No","All"
3590485,221,"Yes","Activities"
3586202,171,"Yes","Activities"
3586585,131,"No","All"
3592076,122,"Yes","Transport"
3587458,226,"Yes","Accommodation"
3592375,177,"Yes","Accommodation"
3586467,202,"Yes","Transport"
3592491,132,"Yes","Accommodation"
3592076,121,"Yes","Accommodation"
3591973,176,"Yes","Transport"
3587544,168,"Yes","Accommodation"
3592592,141,"Yes","Accommodation"
3587037,180,"Yes","Accommodation"
3592645,143,"Yes","Accommodation"
3592660,127,"Yes","Accommodation"
3587121,154,"Yes","Accommodation"
3592592,142,"Yes","Activities"
3592677,167,"Yes","Activities"
3590626,157,"Yes","Activities"
3590091,236,"Yes","Activities"
3586901,144,"Yes","Activities"
3592678,169,"Yes","Activities"
3590776,145,"Yes","Accommodation"
3592677,166,"Yes","Transport"
3592742,138,"Yes","Accommodation"
3587289,139,"Yes","Accommodation"
3592826,126,"Yes","Accommodation"
3590166,149,"Yes","Accommodation"
3592827,153,"Yes","Activities"
3592895,130,"Yes","Activities"
3587389,118,"No","All"
3590166,151,"Yes","Activities"
3590992,127,"No","All"
3592945,168,"No","All"
3592728,193,"Yes","Accommodation"
3592862,135,"Yes","Accommodation"
3590166,150,"Yes","Transport"
3591321,148,"Yes","Accommodation"
3593012,140,"Yes","Accommodation"
3587639,136,"Yes","Accommodation"
3593028,146,"Yes","Accommodation"
3587672,220,"Yes","Accommodation"
3591460,154,"Yes","Accommodation"
3591635,128,"Yes","Activities"
3593463,143,"No","All"
3592827,152,"Yes","Transport"
3591635,127,"Yes","Transport"
3590077,141,"Yes","Accommodation"
3593427,134,"Yes","Accommodation"
3591764,148,"Yes","Accommodation"
3593026,139,"Yes","Accommodation"
3592977,134,"Yes","Activities"
3587672,221,"Yes","Activities"
3591635,126,"Yes","Accommodation"
3590180,179,"Yes","Accommodation"
3593378,152,"Yes","Activities"
3590229,155,"Yes","Activities"
3587670,175,"Yes","Activities"
3593548,137,"Yes","Activities"
3590734,116,"Yes","Accommodation"
3590229,153,"Yes","Accommodation"
3590229,154,"Yes","Transport"
3593563,124,"Yes","Transport"
3593645,136,"Yes","Transport"
3590759,177,"Yes","Transport"
3591919,217,"Yes","Accommodation"
3591821,124,"No","All"
3591919,218,"Yes","Activities"
3593596,136,"Yes","Activities"
3590759,178,"Yes","Activities"
3593596,135,"Yes","Accommodation"
3593645,135,"Yes","Accommodation"
3590759,176,"Yes","Accommodation"
3590784,158,"No","All"
3593832,141,"No","All"
3591000,134,"Yes","Transport"
3594030,158,"Yes","Accommodation"
3590548,173,"Yes","Accommodation"
3593999,136,"Yes","Accommodation"
3592387,141,"No","All"
3591111,116,"No","All"
3594065,144,"Yes","Accommodation"
3593898,147,"Yes","Accommodation"
3592514,142,"Yes","Accommodation"
3594215,133,"Yes","Transport"
3590548,174,"Yes","Transport"
3594233,152,"Yes","Accommodation"
3592303,163,"Yes","Accommodation"
3594064,134,"Yes","Accommodation"
3590412,226,"No","All"
3592262,159,"No","All"
3594066,140,"Yes","Transport"
3592564,156,"Yes","Accommodation"
3592691,172,"Yes","Accommodation"
3592407,196,"No","All"
3594332,126,"Yes","Activities"
3592614,151,"Yes","Accommodation"
3594115,148,"Yes","Accommodation"
3591170,126,"Yes","Accommodation"
3592564,157,"Yes","Transport"
3592621,149,"Yes","Accommodation"
3590899,123,"Yes","Accommodation"
3592648,145,"Yes","Accommodation"
3594263,156,"Yes","Activities"
3591436,182,"Yes","Activities"
3591418,179,"Yes","Accommodation"
3591013,130,"Yes","Accommodation"
3592839,149,"Yes","Accommodation"
3594432,145,"Yes","Accommodation"
3592691,173,"Yes","Activities"
3594515,121,"Yes","Activities"
3592857,154,"Yes","Accommodation"
3594548,152,"Yes","Accommodation"
3592782,140,"Yes","Accommodation"
3594465,165,"Yes","Accommodation"
3592823,144,"Yes","Transport"
3590497,140,"Yes","Activities"
3591468,183,"Yes","Accommodation"
3591611,135,"No","All"
3592925,140,"Yes","Accommodation"
3592932,142,"Yes","Accommodation"
3592966,140,"Yes","Accommodation"
3594665,147,"Yes","Accommodation"
3592975,157,"Yes","Accommodation"
3592973,139,"Yes","Accommodation"
3594715,157,"Yes","Accommodation"
3592982,152,"Yes","Accommodation"
3594717,136,"Yes","Accommodation"
3591738,178,"No","All"
3593148,151,"Yes","Activities"
3591299,160,"Yes","Transport"
3594732,147,"Yes","Accommodation"
3594751,137,"Yes","Accommodation"
3591500,125,"Yes","Accommodation"
3591863,133,"Yes","Accommodation"
3594750,143,"Yes","Accommodation"
3591468,184,"Yes","Activities"
3593030,151,"Yes","Activities"
3593107,142,"Yes","Accommodation"
3592839,150,"Yes","Activities"
3594866,140,"Yes","Activities"
3591648,215,"Yes","Activities"
3593300,170,"No","All"
3593014,150,"Yes","Activities"
3593264,134,"Yes","Activities"
3591863,134,"Yes","Transport"
3594851,160,"Yes","Accommodation"
3595017,160,"Yes","Accommodation"
3591648,214,"Yes","Accommodation"
3591863,135,"Yes","Activities"
3594884,143,"Yes","Accommodation"
3593307,153,"Yes","Activities"
